especie	peso
encino	16.6
encino	16.8
encino	17.2
encino	17.6
encino	17.2
encino	18.6
encino	18.4
encino	17.6
encino	16.6
encino	16.6
encino	18.2
encino	17.2
encino	16.2
encino	17
encino	17
encino	18.6
encino	17.6
encino	17.2
encino	16.6
encino	18.4
encino	16.4
encino	17.2
encino	18.6
encino	17.8
encino	17.6
encino	18
encino	17.4
encino	19
encino	17.4
encino	19
encino	17.4
encino	17.2
pino	12.6
pino	14.4
pino	12.6
pino	12
pino	13.2
pino	13.2
pino	12.2
pino	12.2
pino	12.2
pino	12.2
pino	13
pino	11.6
pino	13.2
pino	11.8
pino	12.8
pino	13.8
pino	12.2
pino	12.2
pino	11.8
pino	12.8
pino	12.8
pino	12.4
pino	12.8
pino	13.4
pino	12.4
pino	11.8
pino	11
pino	12.6
pino	17.2
pino	12
